Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
screenwritery,Screenwritery,"@SenSanders &amp; @TulsiGabbard 2020

 #BernieOrBust 
#bernie #Bernie2020","[{'text': 'BernieOrBust', 'indices': [39, 52]}, {'text': 'bernie', 'indices': [54, 61]}, {'text': 'Bernie2020', 'indices': [62, 73]}]",2019-11-18 15:06:38,0,0,[],39.7837304,-100.4458825,#bernie
FreedomWireNews,FreedomWire,Get ready to pay for it!  Freedom Wire #greennewdeal #aoc #bernie   #maga #trump2020 #America #freedom #republican… https://t.co/kuvuvUn2LJ,"[{'text': 'greennewdeal', 'indices': [39, 52]}, {'text': 'aoc', 'indices': [53, 57]}, {'text': 'bernie', 'indices': [58, 65]}, {'text': 'maga', 'indices': [68, 73]}, {'text': 'trump2020', 'indices': [74, 84]}, {'text': 'America', 'indices': [85, 93]}, {'text': 'freedom', 'indices': [94, 102]}, {'text': 'republican', 'indices': [103, 114]}]",2019-11-18 12:30:20,1,0,"[{'url': 'https://t.co/kuvuvUn2LJ', 'expanded_url': 'https://twitter.com/i/web/status/1196526069786009601', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,@SarcasmStardust As I recall #Bernie was a baller and a runner.,"[{'text': 'Bernie', 'indices': [29, 36]}]",2019-11-18 11:50:12,2,0,[],39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,"@lilgreggy32 @davidsirota @GunnelsWarren @BernieSanders ""Because even to get 50+ votes won't happen until 2022."" -… https://t.co/CEtdY53cTI",[],2019-11-18 10:49:51,0,0,"[{'url': 'https://t.co/CEtdY53cTI', 'expanded_url': 'https://twitter.com/i/web/status/1196500784411807744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",39.7837304,-100.4458825,#bernie
LizEClark,Voice of Reason,There is literally no way #PeteButtigieg is getting my primary vote. Ditto for #Bernie and #ElizabethWarren (althou… https://t.co/yMosEotTW8,"[{'text': 'PeteButtigieg', 'indices': [26, 40]}, {'text': 'Bernie', 'indices': [79, 86]}, {'text': 'ElizabethWarren', 'indices': [91, 107]}]",2019-11-18 10:38:06,5,1,"[{'url': 'https://t.co/yMosEotTW8', 'expanded_url': 'https://twitter.com/i/web/status/1196497825493704705', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
IntelliGentNEW2,SpreadtheBERN!,@cenkuygur don't stop @ #congress let's start talking #Cenk2024 if #godforbid #Trump is re-elected or more appropri… https://t.co/JvfSf6QpVI,"[{'text': 'congress', 'indices': [24, 33]}, {'text': 'Cenk2024', 'indices': [54, 63]}, {'text': 'godforbid', 'indices': [67, 77]}, {'text': 'Trump', 'indices': [78, 84]}]",2019-11-18 10:35:00,0,0,"[{'url': 'https://t.co/JvfSf6QpVI', 'expanded_url': 'https://twitter.com/i/web/status/1196497047681224705', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,"On the US backed Christian Fascist coup d'état in Bolivia:

#Bernie - ""coup""

#Warren - ""Interim Government""

Which… https://t.co/GWGbt6w4x5","[{'text': 'Bernie', 'indices': [60, 67]}, {'text': 'Warren', 'indices': [78, 85]}]",2019-11-19 11:58:00,29,17,"[{'url': 'https://t.co/GWGbt6w4x5', 'expanded_url': 'https://twitter.com/i/web/status/1196880322874490883', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,@SarcasmStardust @EclecticRadical @veniteo @bamabulldog21 You may end up being right. DSA is benefitting from… https://t.co/YqHXkA1V3y,[],2019-11-20 15:55:48,1,0,"[{'url': 'https://t.co/YqHXkA1V3y', 'expanded_url': 'https://twitter.com/i/web/status/1197302556063612929', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]",39.7837304,-100.4458825,#bernie
KattBlack3,Katt Black👌🇺🇸🐺,So what is wrong with that ... they changed cat woman and wonder woman ... #liberallogic #resist #bernie #democrats… https://t.co/cjMnEPgFAf,"[{'text': 'liberallogic', 'indices': [75, 88]}, {'text': 'resist', 'indices': [89, 96]}, {'text': 'bernie', 'indices': [97, 104]}, {'text': 'democrats', 'indices': [105, 115]}]",2019-11-20 15:53:05,1,0,"[{'url': 'https://t.co/cjMnEPgFAf', 'expanded_url': 'https://twitter.com/i/web/status/1197301869003071488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,@veniteo @SarcasmStardust @bamabulldog21 @EclecticRadical I too am hopeful. #Bernie has shown courage and he's been… https://t.co/offG2yaNUZ,"[{'text': 'Bernie', 'indices': [76, 83]}]",2019-11-20 15:46:00,2,0,"[{'url': 'https://t.co/offG2yaNUZ', 'expanded_url': 'https://twitter.com/i/web/status/1197300088151904256', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
Vermontisok,Enrico Pallazzo,@BernieSanders @ArianaGrande Seems like a perfect match. #Bernie @SenSanders #VT https://t.co/TP6CDG1b0R,"[{'text': 'Bernie', 'indices': [57, 64]}, {'text': 'VT', 'indices': [77, 80]}]",2019-11-20 15:04:46,0,1,"[{'url': 'https://t.co/TP6CDG1b0R', 'expanded_url': 'https://fox8.com/2015/07/08/ariana-grande-in-bizarre-video-licks-donut-says-i-hate-america/', 'display_url': 'fox8.com/2015/07/08/ari…', 'indices': [81, 104]}]",39.7837304,-100.4458825,#bernie
ECroydon,Elizabeth Croydon,@AdyBarkan Thank you for throwing my father and others under your bus. You asked Warren to run and took us all on a… https://t.co/F5yCNNWvbq,[],2019-11-20 14:57:19,1,0,"[{'url': 'https://t.co/F5yCNNWvbq', 'expanded_url': 'https://twitter.com/i/web/status/1197287835356798979', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
inovajon,DeepFake Dissident 🆘⚖️🚑🌿,"@veniteo @SarcasmStardust @EclecticRadical Pretty clear you're right. There's still a chance they could loose,

&amp; e… https://t.co/8zO0Uj373E",[],2019-11-20 14:32:25,2,0,"[{'url': 'https://t.co/8zO0Uj373E', 'expanded_url': 'https://twitter.com/i/web/status/1197281570865995776', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]",39.7837304,-100.4458825,#bernie
