Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
pizzaital,marina s.  🌐 🎗,"3/ 
Ich bin wirklich gespannt ob Martin #Zoller, mit dem was er über #Trump's tot im #Video sagt...
eintreffen wird… https://t.co/vtd7X6BTp1","[{'text': 'Zoller', 'indices': [40, 47]}, {'text': 'Trump', 'indices': [69, 75]}, {'text': 'Video', 'indices': [85, 91]}]",2019-11-17 15:55:46,2,2,"[{'url': 'https://t.co/vtd7X6BTp1', 'expanded_url': 'https://twitter.com/i/web/status/1196215383298064384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",44.0032084,3.5483256,#trump
pizzaital,marina s.  🌐 🎗,"2/ 
Korrektur...
von meinem ersten #Tweet...
Martin #Zoller sagt : 
das #Trump kurz vor Ende seiner  Legislatur-Periode, sterben wird...","[{'text': 'Tweet', 'indices': [35, 41]}, {'text': 'Zoller', 'indices': [52, 59]}, {'text': 'Trump', 'indices': [72, 78]}]",2019-11-17 15:51:06,2,2,[],44.0032084,3.5483256,#trump
tigs88,Tracy Muckle,The #TrumpPhysical visit to the hospital is the beginning of an excuse for him stepping down due to 'ill health'.… https://t.co/71OBJrIuZt,"[{'text': 'TrumpPhysical', 'indices': [4, 18]}]",2019-11-17 15:55:34,0,1,"[{'url': 'https://t.co/71OBJrIuZt', 'expanded_url': 'https://twitter.com/i/web/status/1196215331561377793', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",56.7861112,-4.1140518,#trump
congress_us,🇺🇸 US Congress Govt Reform Now,"@TheDemocrats invite #Trump to testify in #ImpeachmentInquiry.
But will be do it?
Simple answer - NOPE.
And why, be… https://t.co/v8yEZg3ncT","[{'text': 'Trump', 'indices': [21, 27]}, {'text': 'ImpeachmentInquiry', 'indices': [42, 61]}]",2019-11-17 15:55:32,0,0,"[{'url': 'https://t.co/v8yEZg3ncT', 'expanded_url': 'https://twitter.com/i/web/status/1196215323374030848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",40.8737461,-75.993564,#trump
reaganremnant,Reagan Remnant 🇺🇸,@JonahDispatch #CoreyLewandowski is too obtuse to realize how badly he has once again been owned. #Lewandowski is o… https://t.co/pgKzeuFtHG,"[{'text': 'CoreyLewandowski', 'indices': [15, 32]}, {'text': 'Lewandowski', 'indices': [98, 110]}]",2019-11-17 15:55:15,2,0,"[{'url': 'https://t.co/pgKzeuFtHG', 'expanded_url': 'https://twitter.com/i/web/status/1196215252087652357', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",34.2694474,-118.781482,#trump
CincyPhotoGuy,CincyPhotography.com,"donald trump driving thru cincinnati #trump #potus #donaldtrump #cincyphotography
https://t.co/pOXPmOUBfc","[{'text': 'trump', 'indices': [37, 43]}, {'text': 'potus', 'indices': [44, 50]}, {'text': 'donaldtrump', 'indices': [51, 63]}, {'text': 'cincyphotography', 'indices': [64, 81]}]",2019-11-17 15:55:03,1,0,"[{'url': 'https://t.co/pOXPmOUBfc', 'expanded_url': 'https://www.youtube.com/watch?v=7yaPrSi0cuE', 'display_url': 'youtube.com/watch?v=7yaPrS…', 'indices': [82, 105]}]",39.1014537,-84.5124602,#trump
HenryDvThoreau,Henry,#Trump #Netanyahu 🤭 https://t.co/1NYOcHNpkh https://t.co/5wLqkmtATT,"[{'text': 'Trump', 'indices': [0, 6]}, {'text': 'Netanyahu', 'indices': [7, 17]}]",2019-11-17 15:53:51,0,0,"[{'url': 'https://t.co/1NYOcHNpkh', 'expanded_url': 'https://twitter.com/SputnikInt/status/1196114525407215616', 'display_url': 'twitter.com/SputnikInt/sta…', 'indices': [20, 43]}]",42.6384261,12.674297,#trump
funnymcmurray,Gary McMurray,"#DonTheCon is a #stonecoldloser — despite pulling out all the stops (#TrumpRally, #tweetstorm), #Trump LOST deep re… https://t.co/xZK3YToFMW","[{'text': 'DonTheCon', 'indices': [0, 10]}, {'text': 'stonecoldloser', 'indices': [16, 31]}, {'text': 'TrumpRally', 'indices': [69, 80]}, {'text': 'tweetstorm', 'indices': [82, 93]}, {'text': 'Trump', 'indices': [96, 102]}]",2019-11-17 15:53:48,2,1,"[{'url': 'https://t.co/xZK3YToFMW', 'expanded_url': 'https://twitter.com/i/web/status/1196214886331600896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",47.5044752,19.1251107,#trump
funnymcmurray,Gary McMurray,"@RepMarkMeadows @WhiteHouse ALL the #Republican #Patriots testifying in the #ImpeachmentHearings AGREE:
-#Trump,… https://t.co/RqcoSI7ECG","[{'text': 'Republican', 'indices': [36, 47]}, {'text': 'Patriots', 'indices': [48, 57]}, {'text': 'ImpeachmentHearings', 'indices': [76, 96]}, {'text': 'Trump', 'indices': [105, 111]}]",2019-11-19 15:54:11,15,0,"[{'url': 'https://t.co/RqcoSI7ECG', 'expanded_url': 'https://twitter.com/i/web/status/1196939760951939072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",47.5044752,19.1251107,#trump
SherlockianOne,Candace Drimmer,Ambassador Sondland’s Revenge. #ImpeachmentHearing #trump did it.  https://t.co/syERylpRA2,"[{'text': 'ImpeachmentHearing', 'indices': [31, 50]}, {'text': 'trump', 'indices': [51, 57]}]",2019-11-20 15:54:01,0,0,"[{'url': 'https://t.co/syERylpRA2', 'expanded_url': 'http://flip.it/S-BSJL', 'display_url': 'flip.it/S-BSJL', 'indices': [67, 90]}]",47.5044752,19.1251107,#trump
leoventuresllc,Leo Ventures,#china #trump #war #bomb #yen #economy #money #bigmoney #chinese #hongkong https://t.co/MpGbaVKNgF,"[{'text': 'china', 'indices': [0, 6]}, {'text': 'trump', 'indices': [7, 13]}, {'text': 'war', 'indices': [14, 18]}, {'text': 'bomb', 'indices': [19, 24]}, {'text': 'yen', 'indices': [25, 29]}, {'text': 'economy', 'indices': [30, 38]}, {'text': 'money', 'indices': [39, 45]}, {'text': 'bigmoney', 'indices': [46, 55]}, {'text': 'chinese', 'indices': [56, 64]}, {'text': 'hongkong', 'indices': [65, 74]}]",2019-11-17 15:53:47,0,0,"[{'url': 'https://t.co/MpGbaVKNgF', 'expanded_url': 'https://www.reuters.com/article/us-samsung-elec-china-focus/made-in-china-samsung-farms-out-more-phones-to-fend-off-rivals-idUSKBN1XR0TJ', 'display_url': 'reuters.com/article/us-sam…', 'indices': [75, 98]}]",41.8755616,-87.6244212,#trump
Robin_Volpi,Da_Skeptunes,"The guy with the sign, though... ;)  
@pannlewis44 @KelliSmith15 @graceslick77 @veterans_i @Sr_Montrell… https://t.co/Q0pPkTQ5TV",[],2019-11-17 15:47:53,5,4,"[{'url': 'https://t.co/Q0pPkTQ5TV', 'expanded_url': 'https://twitter.com/i/web/status/1196213399979544576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]",41.8755616,-87.6244212,#trump
DoodyGiuliani1,Doody Giuliani,@PolitiFact @szwest1 @realDonaldTrump Do you ever find #Trump says something you can rate True?,"[{'text': 'Trump', 'indices': [55, 61]}]",2019-11-19 15:55:16,0,0,[],41.8755616,-87.6244212,#trump
LarryK1152,Badczech,"I saw a commercial for a movie called the Good Liar. I was glad to find out it wasn't a biography of #Trump.

#Impeach the jerk.","[{'text': 'Trump', 'indices': [101, 107]}, {'text': 'Impeach', 'indices': [110, 118]}]",2019-11-22 15:57:15,0,0,[],41.8755616,-87.6244212,#trump
watchkyleeglow,watchkyleeglow,This cover-up is way worse than the actual event that they're trying to cover up. Our democracy is a system of chec… https://t.co/sjsFn6TlQW,[],2019-11-22 15:49:34,0,0,"[{'url': 'https://t.co/sjsFn6TlQW', 'expanded_url': 'https://twitter.com/i/web/status/1198025761694846990', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",41.8755616,-87.6244212,#trump
CometsMum,🇨🇦 #CPC cn't hv my name,Well this is just sad. #Ukraine #Trump https://t.co/yEgezQXTAF,"[{'text': 'Ukraine', 'indices': [23, 31]}, {'text': 'Trump', 'indices': [32, 38]}]",2019-11-17 15:52:48,0,2,"[{'url': 'https://t.co/yEgezQXTAF', 'expanded_url': 'https://twitter.com/thehill/status/1196212672280137728', 'display_url': 'twitter.com/thehill/status…', 'indices': [39, 62]}]",61.0666922,-107.9917071,#trump
margo94,Margo 👀👂,#trump https://t.co/ZqlXlKwZCY,"[{'text': 'trump', 'indices': [0, 6]}]",2019-11-17 15:49:19,0,0,"[{'url': 'https://t.co/ZqlXlKwZCY', 'expanded_url': 'https://twitter.com/JohnMTalmadgeMD/status/1196207471121096704', 'display_url': 'twitter.com/JohnMTalmadgeM…', 'indices': [7, 30]}]",61.0666922,-107.9917071,#trump
aebniala,AEBniala 🍁 Q...Wake-up your life is an illusion.,#Trump Is FORCING The #DEEP_STATE To The Surface | #Huckabee https://t.co/nDMh0wo7wC via @YouTube,"[{'text': 'Trump', 'indices': [0, 6]}, {'text': 'DEEP_STATE', 'indices': [22, 33]}, {'text': 'Huckabee', 'indices': [51, 60]}]",2019-11-20 15:54:09,0,0,"[{'url': 'https://t.co/nDMh0wo7wC', 'expanded_url': 'https://youtu.be/owtSI3wYCdU', 'display_url': 'youtu.be/owtSI3wYCdU', 'indices': [61, 84]}]",61.0666922,-107.9917071,#trump
